#title	KiB	MiB	GiB	n	r	min	max	mean	stddev	MiB/s
IJK	234.375000	0.228882	0.000224	100	100	929056.220000	1107842.610000	947064.702424	39341.810318	80.558324
IKJ	234.375000	0.228882	0.000224	100	100	295069.720000	307909.730000	298576.861818	2037.313834	255.525310
IEX	234.375000	0.228882	0.000224	100	100	295414.980000	305451.410000	296663.063030	1884.681155	257.173726
UNROLL	234.375000	0.228882	0.000224	100	100	477921.640000	495302.700000	481229.329394	4049.068241	158.539683
CBLAS	234.375000	0.228882	0.000224	100	100	58497.760000	60384.810000	58811.709697	531.770200	1297.257735
UNROLL8	234.375000	0.228882	0.000224	100	100	329271.230000	334295.480000	330147.054848	1153.701330	231.090795
