#title	KiB	MiB	GiB	n	r	min	max	mean	stddev	MiB/s
IJK	234.375000	0.228882	0.000224	100	100	927367.840000	1104262.270000	990574.738788	61986.491782	77.019878
IKJ	234.375000	0.228882	0.000224	100	100	296426.230000	307451.280000	298907.723636	2684.103163	255.242469
IEX	234.375000	0.228882	0.000224	100	100	306406.350000	326737.600000	310131.195455	4715.557039	246.005389
UNROLL	234.375000	0.228882	0.000224	100	100	478249.140000	555226.790000	500283.621818	13367.226084	152.501385
CBLAS	234.375000	0.228882	0.000224	100	100	58603.450000	73709.100000	61399.100909	2548.210502	1242.590595
UNROLL8	234.375000	0.228882	0.000224	100	100	349136.730000	361348.970000	352505.706667	2745.986474	216.433220
