#title	KiB	MiB	GiB	n	r	min	max	mean	stddev	MiB/s
IJK	234.375000	0.228882	0.000224	100	100	1032024.810000	1145440.620000	1048341.360000	28160.215783	72.775861
IKJ	234.375000	0.228882	0.000224	100	100	560796.340000	575348.220000	564359.088182	3444.452064	135.186882
IEX	234.375000	0.228882	0.000224	100	100	563636.430000	601831.250000	570009.877576	8579.926444	133.846707
UNROLL	234.375000	0.228882	0.000224	100	100	539961.200000	593315.670000	568254.162424	13955.095010	134.260249
CBLAS	234.375000	0.228882	0.000224	100	100	65145.960000	77810.790000	65988.791818	2264.822033	1156.165209
UNROLL8	234.375000	0.228882	0.000224	100	100	520187.870000	577116.890000	536529.538788	18881.041856	142.198965
