#title	KiB	MiB	GiB	n	r	min	max	mean	stddev	MiB/s
IJK	234.375000	0.228882	0.000224	100	100	4302843.330000	4997224.340000	4425051.894242	180048.506544	17.241367
IKJ	234.375000	0.228882	0.000224	100	100	4031131.040000	4210052.340000	4061247.927273	35574.433782	18.785838
IEX	234.375000	0.228882	0.000224	100	100	3284280.160000	4598024.870000	3364476.213939	242313.488669	22.676322
UNROLL	234.375000	0.228882	0.000224	100	100	2770501.580000	3045279.480000	2835483.234848	78298.306434	26.906858
CBLAS	234.375000	0.228882	0.000224	100	100	62505.600000	76068.600000	65385.429394	2698.395603	1166.834049
UNROLL8	234.375000	0.228882	0.000224	100	100	2795601.000000	4373680.710000	2980756.787576	293327.139051	25.595495
