#title	KiB	MiB	GiB	n	r	min	max	mean	stddev	MiB/s
IJK	234.375000	0.228882	0.000224	100	100	1033437.550000	1255700.380000	1055842.164545	47303.270721	72.258854
IKJ	234.375000	0.228882	0.000224	100	100	713172.260000	723615.480000	716417.283333	2979.338401	106.493725
IEX	234.375000	0.228882	0.000224	100	100	653018.900000	733558.730000	676071.778485	25372.200511	112.848883
UNROLL	234.375000	0.228882	0.000224	100	100	531343.080000	573974.070000	546442.589394	13746.485218	139.619325
CBLAS	234.375000	0.228882	0.000224	100	100	62173.790000	70600.720000	65830.423030	1842.390968	1158.946606
UNROLL8	234.375000	0.228882	0.000224	100	100	519421.430000	580049.830000	548198.488485	19409.378176	139.172119
