#title	KiB	MiB	GiB	n	r	min	max	mean	stddev	MiB/s
IJK	234.375000	0.228882	0.000224	100	100	1030287.480000	1343681.660000	1045370.618182	54773.576248	72.982676
IKJ	234.375000	0.228882	0.000224	100	100	710315.970000	722841.720000	712893.857879	3259.537759	107.020063
IEX	234.375000	0.228882	0.000224	100	100	710107.560000	895174.720000	719713.683939	31796.837740	106.005967
UNROLL	234.375000	0.228882	0.000224	100	100	513741.800000	552613.900000	523856.946364	11174.224560	145.638892
CBLAS	234.375000	0.228882	0.000224	100	100	62605.580000	65572.910000	63839.513939	1061.679595	1195.089696
UNROLL8	234.375000	0.228882	0.000224	100	100	530505.030000	557441.330000	536447.146970	7779.439105	142.220805
