#title	KiB	MiB	GiB	n	r	min	max	mean	stddev	MiB/s
IJK	234.375000	0.228882	0.000224	100	100	1030533.910000	1176364.180000	1058341.997576	35590.989871	72.088177
IKJ	234.375000	0.228882	0.000224	100	100	227561.970000	233780.610000	228229.898182	1081.346323	334.285499
IEX	234.375000	0.228882	0.000224	100	100	227980.910000	232144.360000	228862.995152	1118.673350	333.360774
UNROLL	234.375000	0.228882	0.000224	100	100	310699.310000	321352.140000	312077.397879	2322.786475	244.471230
CBLAS	234.375000	0.228882	0.000224	100	100	58468.660000	59877.440000	58771.831515	246.447070	1298.137957
UNROLL8	234.375000	0.228882	0.000224	100	100	469916.160000	480514.750000	472923.726970	2228.314117	161.323996
