#title	KiB	MiB	GiB	n	r	min	max	mean	stddev	MiB/s
IJK	234.375000	0.228882	0.000224	100	100	928443.550000	1237988.460000	951301.108788	56370.808694	80.199576
IKJ	234.375000	0.228882	0.000224	100	100	295588.080000	390278.240000	306007.730303	20661.861944	249.320320
IEX	234.375000	0.228882	0.000224	100	100	296713.560000	394432.570000	304321.452121	17151.806387	250.701831
UNROLL	234.375000	0.228882	0.000224	100	100	481508.840000	511870.550000	487536.923636	6555.819351	156.488548
CBLAS	234.375000	0.228882	0.000224	100	100	58339.590000	60661.850000	58757.445758	439.740590	1298.455784
UNROLL8	234.375000	0.228882	0.000224	100	100	287900.900000	295630.480000	290780.319697	2100.241826	262.376578
