#title	KiB	MiB	GiB	n	r	min	max	mean	stddev	MiB/s
IJK	234.375000	0.228882	0.000224	100	100	1033074.400000	1259790.580000	1062212.259697	52358.471604	71.825518
IKJ	234.375000	0.228882	0.000224	100	100	228881.010000	235741.030000	230703.851818	1704.460207	330.700787
IEX	234.375000	0.228882	0.000224	100	100	228088.350000	239025.960000	231058.785455	3273.470947	330.192791
UNROLL	234.375000	0.228882	0.000224	100	100	315489.940000	413108.480000	323567.826667	20671.003880	235.789652
CBLAS	234.375000	0.228882	0.000224	100	100	58363.940000	89623.300000	63860.903030	9353.358254	1194.689422
UNROLL8	234.375000	0.228882	0.000224	100	100	319990.610000	514814.630000	372023.969091	74567.521036	205.078037
